feature,importance
article_id_1_RF6397,0.0012177111
article_id_1_NB5887,0.0012095073
article_id_1_ST3419,0.0012020426
article_id_1_WB3769,0.0011959599
article_id_1_IB8671,0.0011851275
article_id_1_QV8877,0.0011846629
article_id_1_XK6846,0.001183903
article_id_1_VY8476,0.0011791625
article_id_1_ZX8794,0.0011776512
article_id_1_QT7325,0.0011765221
article_id_1_VE4993,0.0011748235
article_id_1_TX1463,0.001173201
main_closest_color_brown,0.0011718316
article_id_1_BF9848,0.0011654313
article_id_1_LI5748,0.0011605024
article_id_1_RJ3725,0.0011560606
article_id_1_QD9777,0.0011543413
article_id_1_YR2438,0.0011515701
article_id_1_JW4878,0.0011514896
article_id_1_QC7465,0.0011443682
article_id_1_BX9481,0.001138828
article_id_1_PH9161,0.0011355609
article_id_1_IF7337,0.001127935
article_id_1_IH1672,0.0011277816
article_id_1_LD8468,0.001124137
article_id_1_LX5583,0.0011221948
article_id_1_NM4424,0.0011198419
article_id_1_BI5643,0.0011159617
article_id_1_BF7554,0.0011101984
article_id_1_YX1723,0.0011071749
article_id_1_TO8135,0.0011061889
article_id_1_HJ9196,0.0011056074
article_id_1_VF7316,0.001096832
article_id_1_DH6848,0.0010895345
article_id_1_RJ5552,0.0010885551
article_id_1_ON6494,0.0010869169
article_id_1_QM3774,0.0010862267
article_id_1_DZ3492,0.0010850165
article_id_1_WV8337,0.0010848492
article_id_1_TM4166,0.0010808455
article_id_1_EH5694,0.0010784622
article_id_1_YV2782,0.001065288
article_id_1_HN6759,0.0010603799
article_id_1_VJ8341,0.0010570259
article_id_1_ZD3611,0.0010525004
article_id_1_OI4367,0.0010522329
article_id_1_EL6462,0.0010501752
article_id_1_QO5375,0.0010456168
article_id_1_HM5731,0.0010387101
article_id_1_OW5968,0.0010257935
article_id_1_AL2298,0.0010155137
article_id_1_WF4276,0.001013706
article_id_1_TL9924,0.0010117887
article_id_1_FE4648,0.0010102104
article_id_1_HM8568,0.0010073417
article_id_1_PW7632,0.001005835
article_id_1_TR1972,0.0010045695
article_id_1_UN9356,0.0010036154
article_id_1_ZZ2466,0.0009973173
article_id_1_ZV2187,0.0009948402
article_id_1_AH6675,0.0009925235
article_id_1_XT5836,0.0009874412
article_id_1_OC6355,0.0009862952
article_id_1_XS4279,0.0009839983
article_id_1_FU5676,0.0009807785
article_id_1_ZM8792,0.0009705961
article_id_1_ZI6739,0.00096617435
article_id_1_NT3648,0.00094894785
article_id_1_HQ3171,0.0009466433
article_id_1_KI5716,0.00094589574
article_id_1_CR8478,0.0009446495
article_id_1_KF7243,0.0009392381
article_id_1_ON4163,0.0009377937
article_id_1_AL9977,0.0009356497
article_id_1_HU6228,0.0009248319
article_id_1_UM7314,0.00092234625
article_id_1_XU7827,0.0009215392
article_id_1_RE8165,0.0009189197
article_id_1_IL7684,0.0009178705
article_id_1_IR3275,0.0009100581
article_id_1_LH8921,0.0009035157
article_id_1_SC5839,0.00089819386
article_id_1_KT8964,0.00086815434
article_id_1_KJ7255,0.0008670704
article_id_1_BU9681,0.00086250657
article_id_1_LL7287,0.0008616227
article_id_1_ET7242,0.00085114315
article_id_1_WR9459,0.00084314507
article_id_1_JQ8333,0.00083440973
article_id_1_ZE6328,0.00083125226
article_id_1_YV7315,0.0008235604
article_id_1_YD2684,0.00080337765
article_id_1_VP7827,0.00079484255
article_id_1_BM9116,0.0007916995
article_id_1_ZB7415,0.0007882779
article_id_1_AN4895,0.0007880469
article_id_1_CO7738,0.00078088825
article_id_1_SW4387,0.00076989015
article_id_1_CC8861,0.0007674269
article_id_1_OV5561,0.00076576095
article_id_1_LX1494,0.000765092
article_id_1_ZO6398,0.00076119805
article_id_1_JN4924,0.0007553451
article_id_1_EU1121,0.00074942654
article_id_1_YS6935,0.00074397965
article_id_1_CK7156,0.0007260439
article_id_1_AX5971,0.0007234311
article_id_1_MC3398,0.0007142898
article_id_1_BE9148,0.0007121788
article_id_1_ZK4922,0.0007115535
article_id_1_UG4425,0.0007100669
article_id_1_OF8158,0.0007061274
article_id_1_PY2718,0.0007018809
article_id_1_PQ6379,0.00070081954
article_id_1_UX6851,0.00067664037
article_id_1_WZ7972,0.0006760692
article_id_1_PV4787,0.00067497976
article_id_1_GP6821,0.00066882715
article_id_1_GA4832,0.0006499626
article_id_1_CX1431,0.00064466684
article_id_1_PN1714,0.00064383383
article_id_1_KF7125,0.00064378773
article_id_1_KZ9384,0.00064249366
article_id_1_EI1264,0.00064233853
article_id_1_CF3238,0.0006379743
article_id_1_LI6472,0.0006340746
article_id_1_QX5316,0.0006268351
article_id_1_ML2223,0.000622957
article_id_1_QP2819,0.0006100021
article_id_1_OT2311,0.00060447963
article_id_1_WB8526,0.0006044159
article_id_1_PP8845,0.00060251774
article_id_1_VW9933,0.00060020946
article_id_1_XF4182,0.00059351115
article_id_1_CJ4578,0.00058824406
article_id_1_EL3283,0.0005832382
article_id_1_XI2961,0.0005814949
article_id_1_YL7926,0.00055835804
article_id_1_XJ1725,0.0005561328
article_id_1_TS8227,0.0005559092
article_id_1_VT7698,0.00054985756
article_id_1_SW7987,0.00054720364
article_id_1_XB3134,0.0005463239
article_id_1_QB6977,0.000543186
article_id_1_DY1673,0.0005393582
article_id_1_WU2517,0.0005250458
article_id_1_UX6816,0.00051846734
article_id_1_CQ8153,0.00051323394
article_id_1_RE8863,0.0005105649
article_id_1_FJ2121,0.0005041386
article_id_1_MR4948,0.00050104456
article_id_1_LX5774,0.0004947457
article_id_1_BC1489,0.00049128395
article_id_1_MM4542,0.0004889918
article_id_1_SG5828,0.00048794525
article_id_1_WL2581,0.0004797895
article_id_1_WQ8254,0.00047666146
article_id_1_OJ4847,0.00047620543
article_id_1_JI2453,0.00047321658
article_id_1_OZ8992,0.00047273215
article_id_1_HN7272,0.00046954033
article_id_1_DM6477,0.00045412613
article_id_1_PT2992,0.0004460106
article_id_1_VY8356,0.00043996272
article_id_1_YI3589,0.0004392598
article_id_1_MO9371,0.00043197395
article_id_1_FO4538,0.00042859188
article_id_1_MD2664,0.00038526807
article_id_1_XG6147,0.00035347973
article_id_1_TS8911,0.00033725816
article_id_1_JR7981,0.00033464486
article_id_1_GS4461,0.000316582
article_id_1_RX1584,0.00030089877
article_id_1_MW3528,0.0
article_id_1_JY1298,0.0
article_id_1_KF6572,0.0
article_id_1_LI3529,0.0
article_id_1_MJ2618,0.0
article_id_1_JP9274,0.0
article_id_1_NH9366,0.0
article_id_1_OA8258,0.0
article_id_1_ON9331,0.0
article_id_1_OO1497,0.0
article_id_1_JX7462,0.0
article_id_1_PZ7731,0.0
article_id_1_JG1582,0.0
article_id_1_IW8485,0.0
article_id_1_IQ1913,0.0
article_id_1_HZ9888,0.0
article_id_1_HQ9691,0.0
article_id_1_GZ1752,0.0
article_id_1_FV6234,0.0
article_id_1_FG2965,0.0
article_id_1_EC5317,0.0
article_id_1_BC6932,0.0
article_id_1_AQ1643,0.0
article_id_1_PQ6953,0.0
article_id_1_AM4669,0.0
article_id_1_QK7994,0.0
article_id_1_QS5396,0.0
dayofweek,0.0
article_id_1_ZU2733,0.0
article_id_1_ZJ5718,0.0
article_id_1_ZF7765,0.0
article_id_1_YR6479,0.0
article_id_1_YN2747,0.0
article_id_1_YK5786,0.0
